ID,img_path,Description,Question,A,B,C,D,answer
TRAIN_709,./dataset/generated/images/scene_517.jpg,"The image features a snow-covered mountain with a large rock formation in the foreground. The mountain is covered in snow, and the rock formation appears to be a natural formation.",What is the main subject of the image?,A snow-covered mountain,A large rock formation,A snow-covered mountain with a large rock formation,A snow-covered mountain with a large rock formation in the foreground,D
TRAIN_710,./dataset/generated/images/scene_518.jpg,"The image features a serene pond surrounded by trees, with a bench nearby. There are several birds in the area, and a person can be seen standing near the pond.",What is the main focus of the image?,The pond,The trees,The birds,The person,A
TRAIN_711,./dataset/generated/images/scene_519.jpg,"A large city with many skyscrapers and buildings. The city is filled with greenery, including trees and grass.",What is the main feature of the city in the image?,The tall buildings,The greenery,The waterfront,The transportation system,B
TRAIN_712,./dataset/generated/images/scene_52.jpg,A person is sitting at a table with a plate of hot dogs and a glass of beer. There are also umbrellas and chairs in the scene.,What is the person holding in their hand?,Hot dog,Beer,Umbrella,Chair,A
TRAIN_713,./dataset/generated/images/scene_520.jpg,"The image features a beautiful sunset over the ocean, with the sun setting behind the waves. The sky is filled with warm hues, and the water is calm.",What is the main subject of the image?,The ocean,The sun,The sunset,The sky,C
TRAIN_714,./dataset/generated/images/scene_521.jpg,"A city street at night with a brightly lit building, cars, and people walking. The street is bustling with activity, and there are lights in the background.",What is the main source of light in the image?,Car headlights,Building lights,Street lights,People's cell phones,B
TRAIN_715,./dataset/generated/images/scene_522.jpg,"The image features a beautiful mountain range with snow-covered peaks and a lake in the foreground. The mountains are covered in snow, and the lake is surrounded by snow-covered rocks. The scene is serene and picturesque.",What is the primary color of the snow-covered mountains in the image?,Green,Red,White,Blue,C
TRAIN_716,./dataset/generated/images/scene_523.jpg,"A serene scene of a lake with ducks swimming and floating on the water. The lake is surrounded by lush green trees, creating a peaceful and natural atmosphere.",What is the main focus of the image?,The ducks swimming in the lake,The lush green trees surrounding the lake,The peaceful and natural atmosphere of the scene,The serene setting of the lake,A
TRAIN_717,./dataset/generated/images/scene_524.jpg,"The image is a bird's eye view of a large city with many tall buildings. The city is filled with skyscrapers, and there is a large body of water in the middle of the city.",What is the main feature of the image?,The tall buildings,The large body of water,The city's layout,The bird's eye view,A
TRAIN_718,./dataset/generated/images/scene_525.jpg,"A woman is sitting at a table with a plate of pancakes and a cup of coffee. There are other people in the background, and the table is set with various items such as cups, spoons, and a bowl.",What is the woman holding in her hand?,A cup of coffee,A spoon,A plate of pancakes,A bowl,A
TRAIN_719,./dataset/generated/images/scene_526.jpg,"A table with a plate of food, including meat and vegetables, and several wine glasses. The table is set for a meal, and there are multiple wine glasses on the table.",What is the main dish on the plate?,Meat,Vegetables,Salad,Dessert,A
TRAIN_720,./dataset/generated/images/scene_527.jpg,"Three women are sitting on a blanket in a park, enjoying a picnic with a basket of fruit. They are smiling and having a good time.",What is the main activity in the image?,Eating,Sitting,Smiling,Walking,A
TRAIN_721,./dataset/generated/images/scene_528.jpg,"Two women are standing in a kitchen, smiling and cutting pizzas. They are surrounded by various kitchen items such as bowls, cups, and a spoon.",What are the two women doing in the kitchen?,Cooking,Cleaning,Eating,Smiling and cutting pizzas,D
TRAIN_722,./dataset/generated/images/scene_529.jpg,"A table full of food, including a plate of shrimp, a plate of pasta, and a plate of vegetables. There are also wine glasses and a fork on the table.",What is the main dish on the table?,Shrimp,Pasta,Vegetables,All of the above,D
TRAIN_723,./dataset/generated/images/scene_53.jpg,A table with plates of sliced watermelon and lemon wedges.,What is the main fruit displayed on the table?,Watermelon,Lemon,Orange,Apple,A
TRAIN_724,./dataset/generated/images/scene_530.jpg,"A woman is taking a picture of the Sydney Opera House, which is a large building with a distinctive white roof. The building is situated on the water, and the woman is standing on a boat to capture the perfect shot.",What is the woman taking a picture of?,A boat,A building,A bridge,A boat with a building on it,B
TRAIN_725,./dataset/generated/images/scene_531.jpg,A group of children and their mothers are walking down a street in a city. They are walking in front of a building and appear to be enjoying their time together.,What is the group of people walking down the street?,A family,A group of friends,A group of children and their mothers,A group of tourists,C
TRAIN_726,./dataset/generated/images/scene_532.jpg,"A large passenger jet is flying low over a busy airport, with several cars and trucks on the ground.",What is the main focus of the image?,The passenger jet,The cars and trucks on the ground,The busy airport,The low-flying passenger jet,A
TRAIN_727,./dataset/generated/images/scene_533.jpg,"A family is standing next to a van, with a child in the back of the van. They are looking at the van's back window.",What is the family looking at in the back of the van?,A window,A mirror,A child,A reflection,A
TRAIN_728,./dataset/generated/images/scene_534.jpg,"A group of people and dogs are sitting on a grassy field. There are two dogs sitting on the grass, and a man and a woman are sitting on a bench nearby. The people and dogs are enjoying a sunny day outdoors.",What is the main activity of the people and dogs in the image?,Playing frisbee,Sitting on a bench,Lying on the grass,All of the above,D
TRAIN_729,./dataset/generated/images/scene_535.jpg,"A brightly colored cafe with a variety of food options, including donuts and sandwiches. The cafe has a lively atmosphere with people ordering and enjoying their meals.",What is the main color theme of the cafe?,Pink and green,Yellow and blue,Red and white,Black and white,A
TRAIN_730,./dataset/generated/images/scene_536.jpg,"A bustling outdoor market with people shopping and selling various fruits and vegetables. The market is filled with people, and there are multiple fruit stands with a variety of fruits on display.",What is the primary focus of the image?,People shopping at the market,The fruit stands and their offerings,The outdoor market setting,The variety of fruits and vegetables available,A
TRAIN_731,./dataset/generated/images/scene_537.jpg,"A busy marketplace with a man standing at a food stand, selling various food items. There are many people walking around, and some are carrying handbags. The marketplace is bustling with activity, and the atmosphere is lively.",What is the main activity in the image?,Shopping,Eating,Walking,Selling,A
TRAIN_732,./dataset/generated/images/scene_538.jpg,"A large group of people are standing in line at a pizza shop, waiting to order their pizzas. They are holding various items such as handbags and backpacks.",What is the main activity in the image?,People are eating pizza,People are waiting in line,People are shopping for groceries,People are playing video games,B
TRAIN_733,./dataset/generated/images/scene_539.jpg,"A bustling outdoor market with a large variety of fresh fruits and vegetables on display. People are shopping and socializing, with some carrying bags and backpacks.",What is the primary focus of the image?,The people shopping at the market,The fresh produce available at the market,The outdoor market setting,The variety of fruits and vegetables on display,B
TRAIN_734,./dataset/generated/images/scene_54.jpg,A loaf of bread is cut into slices and placed on a wooden table. There is a cup of coffee next to the bread.,What is the main object in the image?,Bread,Coffee cup,Table,Knife,A
TRAIN_735,./dataset/generated/images/scene_540.jpg,"Three people are sitting around a table, each using a laptop. They are engaged in a meeting or collaborating on a project.",What is the primary activity of the people in the image?,They are working on their laptops.,They are having a conversation.,They are eating.,They are playing a game.,A
TRAIN_736,./dataset/generated/images/scene_541.jpg,"A group of four people sitting on a bench, each holding a cell phone. They are all looking at their phones, possibly texting or browsing.",What is the group of people doing in the image?,Playing a game,Texting,Looking at their phones,Talking to each other,C
TRAIN_737,./dataset/generated/images/scene_542.jpg,"A group of people are gathered in a room, enjoying drinks and each other's company. They are holding cups and a man is holding a beer.",What is the main activity in the image?,Drinking,Eating,Talking,Dancing,A
TRAIN_738,./dataset/generated/images/scene_543.jpg,"A group of people, including both men and women, are sitting on a bench. They are all wearing sunglasses and appear to be enjoying their time together.",What is the group of people wearing?,Hats,Sunglasses,Shirts,Shorts,B
TRAIN_739,./dataset/generated/images/scene_544.jpg,"A group of people are sitting around a table, engaged in conversation. They are using cell phones and laptops to communicate and work together.",What is the primary activity of the people in the image?,They are talking to each other.,They are using cell phones and laptops.,They are eating.,They are playing games.,B
TRAIN_740,./dataset/generated/images/scene_545.jpg,"A family of five, consisting of a man, a woman, and three children, are sitting on a porch. They are all smiling and posing for a picture.",What is the family's composition?,"A man, a woman, and three children","A man, a woman, and two children","A man, a woman, and one child","A man, a woman, and no children",A
TRAIN_741,./dataset/generated/images/scene_546.jpg,"A man and a woman are walking together in a park, holding hands. They are both smiling and enjoying their time together.",What is the man and woman holding in their hands?,Hands,Flowers,Umbrellas,Food,A
TRAIN_742,./dataset/generated/images/scene_547.jpg,"Two women in white dresses are standing outside, one of them is holding a camera. They are smiling and appear to be enjoying their time together.",What is the main activity in the image?,Taking a picture,Smiling,Sitting,Standing,A
TRAIN_743,./dataset/generated/images/scene_548.jpg,A group of people are dancing in a dark room with colorful lights. They are having a good time and enjoying themselves.,What is the main activity in the image?,People are standing around and talking.,People are dancing and having fun.,People are sitting and watching others dance.,People are playing video games.,B
TRAIN_744,./dataset/generated/images/scene_549.jpg,"A man and a woman are sitting at a table on a beach, smiling and enjoying their time together. They are surrounded by food and drinks, including a bowl of fruit, a cupcake, and a glass of milk. There is also a cell phone on the table.",What is the main activity depicted in the image?,Eating,Drinking,Smiling,Taking a selfie,A
TRAIN_745,./dataset/generated/images/scene_55.jpg,"A wooden platter with a variety of cheeses, meats, and vegetables.",What is the main ingredient of the platter?,Cheese,Meat,Vegetables,All of the above,D
TRAIN_746,./dataset/generated/images/scene_550.jpg,"A man and a woman are standing in a park, holding a baby. The woman is wearing a blue shirt and has a backpack on. The man is wearing a blue shirt as well. They are surrounded by pink flowers.",What color is the woman's shirt in the image?,Blue,Pink,White,Green,A
TRAIN_747,./dataset/generated/images/scene_551.jpg,A group of young people are playing basketball in a park. They are holding a basketball and laughing together.,What is the group of people playing in the park?,Soccer,Basketball,Volleyball,Frisbee,B
TRAIN_748,./dataset/generated/images/scene_552.jpg,A group of children and adults are playing a game on a sandy beach. They are smiling and enjoying their time together.,What is the group of people playing on the beach?,Frisbee,Beach volleyball,Building sandcastles,Board games,D
TRAIN_749,./dataset/generated/images/scene_553.jpg,"A group of people, including both children and adults, are sitting around a table playing a game. They are using a game board and various game pieces.",What is the game they are playing?,Monopoly,Scrabble,Checkers,Chess,B
TRAIN_750,./dataset/generated/images/scene_554.jpg,"A man and a woman are sitting at a table in a forest, enjoying a meal together. They are surrounded by greenery and have wine glasses in front of them.",What is the setting of the image?,A restaurant,A forest,A beach,A city,B
TRAIN_751,./dataset/generated/images/scene_555.jpg,"A man and woman are walking down a path in a park, surrounded by trees and flowers. They are holding hands and enjoying their time together.",What is the man and woman doing in the image?,Walking down a path in a park,Holding hands,Enjoying their time together,All of the above,D
TRAIN_752,./dataset/generated/images/scene_556.jpg,"A basketball game is in progress with two teams playing. One player is attempting to shoot the ball, while another player is trying to block the shot. The scene is filled with excitement and anticipation.",What is the main action taking place in the image?,A player is attempting to shoot the ball.,A player is trying to block the shot.,A player is dribbling the ball.,A player is passing the ball to a teammate.,A
TRAIN_753,./dataset/generated/images/scene_557.jpg,"A group of people are riding in a convertible car, enjoying the scenic mountain view. They are wearing sunglasses and hats, and one of them is holding a camera.",What is the group of people riding in?,A bus,A train,A car,A plane,C
TRAIN_754,./dataset/generated/images/scene_558.jpg,"A family of four is sitting around a dining table, enjoying a meal together. They are eating various foods, including salad, and drinking from cups. There are multiple bowls, cups, and utensils on the table.",What is the main activity in the image?,The family is eating together,The family is playing a game,The family is watching TV,The family is having a picnic,A
TRAIN_755,./dataset/generated/images/scene_559.jpg,A busy city street with many people walking around. Some of the people are carrying handbags and backpacks.,What is the main activity in the image?,People walking around,People carrying handbags and backpacks,People standing still,People sitting down,A
TRAIN_756,./dataset/generated/images/scene_56.jpg,"The image features a grassy hillside overlooking the ocean. The sun is setting, casting a warm glow on the scene. There are a few boats visible in the water, and a few people can be seen enjoying the view.",What is the main focus of the image?,The boats in the water,The grassy hillside,The sunset,The people on the hillside,C
TRAIN_757,./dataset/generated/images/scene_560.jpg,"A group of people are standing on a rocky mountain top, wearing backpacks and smiling. They are enjoying the view and the experience of being on the mountain.",What is the group of people standing on?,A rocky mountain top,A grassy hill,A sandy beach,A rocky beach,A
TRAIN_758,./dataset/generated/images/scene_561.jpg,A group of people are standing in a grassy area with a camera on a tripod. They are filming a bear that is walking towards them.,What is the group of people filming?,A bird,A bear,A snake,A deer,B
TRAIN_759,./dataset/generated/images/scene_562.jpg,"A group of people are sitting around a table, enjoying a meal together. They are smiling and having a good time. There are several bowls of food in front of them, including a bowl of salad.",What is the main activity in the image?,Eating,Smiling,Sitting,Drinking,A
TRAIN_760,./dataset/generated/images/scene_563.jpg,"A group of women walking down a street, wearing sunglasses and carrying handbags.",What is the main activity in the image?,Walking,Shopping,Talking,Drinking coffee,A
TRAIN_761,./dataset/generated/images/scene_564.jpg,"A group of people, including a man and a woman, are standing in a forest. They are wearing backpacks and appear to be enjoying their time outdoors.",What is the group of people in the image doing?,Hiking,Taking a break,Posing for a picture,All of the above,D
TRAIN_762,./dataset/generated/images/scene_565.jpg,"A group of people are sitting at tables outside of a restaurant, enjoying their meals. There are several chairs, dining tables, and potted plants in the area.",What is the main activity in the image?,People eating outside a restaurant,People sitting at tables outside a restaurant,People walking on the street,People standing in a line,A
TRAIN_763,./dataset/generated/images/scene_566.jpg,"A market scene with a variety of fruits on display, including apples, oranges, and bananas. People are shopping for fresh produce in the market.",What is the primary focus of the image?,Fresh produce,People shopping,The market itself,The variety of fruits on display,A
TRAIN_764,./dataset/generated/images/scene_567.jpg,"A man is standing in front of a food truck, which is selling food. The truck is colorful and has a menu on the side. The man is wearing a hat and appears to be ordering food.",What is the man wearing?,Hat,Shirt,Jeans,Cap,A
TRAIN_765,./dataset/generated/images/scene_568.jpg,A plate of food is on a table with a salad and a fish dish. There are chairs around the table and a potted plant nearby.,What is the main dish on the plate?,Salad,Fish,Pasta,Vegetables,B
TRAIN_766,./dataset/generated/images/scene_569.jpg,"A group of people are sitting at tables on a rooftop patio, enjoying the ambiance of the outdoor space. The patio is decorated with lights and lanterns, creating a warm and inviting atmosphere.",What is the main activity taking place in the image?,People are sitting at tables on a rooftop patio.,People are standing around and socializing.,People are enjoying the ambiance of the outdoor space.,People are eating and drinking at the rooftop patio.,A
TRAIN_767,./dataset/generated/images/scene_57.jpg,"A group of people are standing around a wooden picnic table, enjoying a meal together. They are holding plates of food and drinks, and there are multiple bottles on the table.",What is the main activity in the image?,Eating,Drinking,Socializing,Playing,A
TRAIN_768,./dataset/generated/images/scene_570.jpg,"A family of five, including a woman and four children, are sitting on a couch together. They are smiling and enjoying each other's company. There are chips on the couch and a bag of chips in front of them.",What is the family doing in the image?,Watching TV,Eating chips,Playing video games,All of the above,D
TRAIN_769,./dataset/generated/images/scene_571.jpg,"A woman with long hair is standing on a beach, smiling and looking at the camera. She is wearing a white tank top and has her hair blowing in the wind.",What is the woman wearing?,A white tank top,A white shirt,A white dress,A white jacket,A
TRAIN_770,./dataset/generated/images/scene_572.jpg,"A woman is driving a car with her hands on the steering wheel. She is looking at the dashboard, which has a speedometer and other gauges.",What is the woman's main focus in the image?,Looking at the speedometer,Looking at the gauges,Looking at the road,Looking at the car's interior,A
TRAIN_771,./dataset/generated/images/scene_573.jpg,"A woman is sitting at a desk, writing on a piece of paper. She is surrounded by various items, including a potted plant, a book, a cup, and a bowl. There is a window nearby, and the room appears to be well-lit.",What is the woman doing in the image?,Reading a book,Writing on a piece of paper,Sitting at a desk,Looking out the window,B
TRAIN_772,./dataset/generated/images/scene_574.jpg,"A woman is sitting on the grass in a park, reading a book. She is wearing glasses and has a handbag beside her. There are other people in the park, some of them sitting on benches.",What is the woman reading?,A magazine,A book,A newspaper,A comic book,B
TRAIN_773,./dataset/generated/images/scene_575.jpg,"A group of people are sitting at tables outside, enjoying their meals and drinks. They are surrounded by umbrellas and chairs, and there are potted plants nearby.",What is the main activity of the people in the image?,Eating,Drinking,Sitting,Talking,A
TRAIN_774,./dataset/generated/images/scene_576.jpg,"The image shows a bustling outdoor market with a variety of fresh fruits and vegetables on display. People are walking around, browsing the produce, and shopping for their groceries. The market is filled with colorful umbrellas providing shade and adding to the lively atmosphere.",What is the primary purpose of the outdoor market in the image?,To sell clothing,To sell fresh produce,To sell handmade crafts,To sell electronics,B
TRAIN_775,./dataset/generated/images/scene_577.jpg,"A colorful restaurant with a neon sign and a bar. The restaurant has a variety of chairs and tables, and the walls are painted with vibrant colors.",What is the main color of the restaurant's walls?,Green,Pink,Yellow,Blue,A
TRAIN_776,./dataset/generated/images/scene_578.jpg,"The image shows a street scene with a variety of food trucks and vending carts. There are several people standing around the food trucks, and some are carrying handbags. The food trucks are parked in a parking lot, and there are colorful flags hanging above them.",What is the main focus of the image?,The people standing around the food trucks,The colorful flags hanging above the food trucks,The variety of food trucks and vending carts,The handbags carried by the people,C
TRAIN_777,./dataset/generated/images/scene_579.jpg,"The image shows a large dining room with a long table set for dinner. The table is adorned with wine glasses, forks, knives, and spoons. There are multiple chairs surrounding the table, and a vase with flowers is placed on the table. The room is well-lit, and the atmosphere appears to be elegant and inviting.",What is the main purpose of the dining room in the image?,To host a formal dinner party,To serve as a restaurant,To be used as a gathering space for family and friends,To be used as a private dining area for a single individual,A
TRAIN_778,./dataset/generated/images/scene_58.jpg,"A man is standing on a dock next to a boat, holding a fishing rod. He is wearing a backpack and is looking out over the water.",What is the man holding in his hand?,Fishing rod,Cell phone,Camera,Paper,A
TRAIN_779,./dataset/generated/images/scene_580.jpg,"A group of people are sitting around a table, enjoying a meal together. They are eating salad and drinking beer. There are multiple bowls of salad on the table, and several cups and wine glasses.",What is the main dish being served at the table?,Salad,Pizza,Sushi,Steak,A
TRAIN_780,./dataset/generated/images/scene_581.jpg,"A group of four children and one adult are sitting on a blanket in a park, enjoying a picnic. They are eating sandwiches and drinking juice.",What is the group of people sitting on?,A bench,A blanket,A chair,A couch,B
TRAIN_781,./dataset/generated/images/scene_582.jpg,"A group of people are standing on a beach, smiling and taking selfies. They are all holding up their cell phones to capture the moment.",What is the group of people doing on the beach?,Taking selfies,Playing beach volleyball,Building sandcastles,Surfing,A
TRAIN_782,./dataset/generated/images/scene_583.jpg,"A group of people are sitting around a table filled with food, including plates of vegetables and sandwiches. They are enjoying a meal together.",What is the main focus of the image?,The people sitting around the table,The food on the table,The vegetables on the table,The sandwiches on the table,A
TRAIN_783,./dataset/generated/images/scene_584.jpg,"A man and a woman are sitting on a bench in a garden, sharing a meal. They are surrounded by flowers and greenery.",What is the man wearing?,Shirt and pants,Tie,Dress,None of the above,A
TRAIN_784,./dataset/generated/images/scene_585.jpg,"A woman is walking down a crowded street, holding a shopping bag. She is wearing a green jacket and a white sweater. There are several other people walking around her, and some are carrying handbags.",What is the woman wearing?,A green jacket and a white sweater,A white sweater and a green jacket,A green jacket and a white shirt,A white shirt and a green jacket,A
TRAIN_785,./dataset/generated/images/scene_586.jpg,"Three people are sitting at a table, smiling and enjoying their time together. They are surrounded by wine glasses and plates of food.",What is the main activity in the image?,Eating,Drinking,Smiling,All of the above,D
TRAIN_786,./dataset/generated/images/scene_587.jpg,"A group of people are sitting around a wooden dining table, enjoying a meal together. They are smiling and laughing, and there are various food items on the table, including sandwiches, bowls, cups, and wine glasses.",What is the main activity in the image?,Eating,Drinking,Smiling,Laughing,A
TRAIN_787,./dataset/generated/images/scene_588.jpg,"A family of five, consisting of a man, a woman, and three children, are posing for a picture on a beach. They are all smiling and enjoying their time together.",What is the main activity in the image?,Swimming,Sunbathing,Posing for a picture,Playing beach sports,C
TRAIN_788,./dataset/generated/images/scene_589.jpg,"A man and a woman are lying on a bed, smiling and hugging each other. The woman is wearing a white shirt.",What is the woman wearing?,A white shirt,A black shirt,A red shirt,A blue shirt,A
TRAIN_789,./dataset/generated/images/scene_59.jpg,A group of swans swimming in a pond.,What is the primary activity of the swans in the image?,Swimming,Standing,Sitting,Flying,A
TRAIN_790,./dataset/generated/images/scene_590.jpg,"Two people are holding up their cell phones in a kitchen. They are showing off their phones, which are displaying a picture of a beach.",What is the main focus of the image?,The people holding up their phones,The beach picture on the phones,The kitchen setting,The phones themselves,B
TRAIN_791,./dataset/generated/images/scene_591.jpg,"A group of women are sitting on the beach, enjoying the sun and the water. They are under umbrellas and there are a few boats in the water.",What is the main activity of the women in the image?,Swimming,Sunbathing,Boating,All of the above,D
TRAIN_792,./dataset/generated/images/scene_592.jpg,"A group of people walking down a path in a park, with trees in the background.",What is the main activity in the image?,Walking,Talking,Sitting,Standing,A
TRAIN_793,./dataset/generated/images/scene_593.jpg,"A person is standing on a skyscraper, looking down at the city lights below. The city is illuminated with lights, and the person is wearing a white shoe.",What is the person wearing on their foot?,Shoe,Sandal,Flip flop,Sneaker,A
TRAIN_794,./dataset/generated/images/scene_594.jpg,"The image captures a beautiful sunset over the ocean. The sun is setting behind the ocean, casting a warm glow on the water. The sky is filled with clouds, adding to the serene atmosphere.",What is the main subject of the image?,The ocean,The sun,The clouds,The sunset,D
TRAIN_795,./dataset/generated/images/scene_6.jpg,The image is a panoramic view of a large city with many tall buildings. The buildings are of various heights and are situated in a large cityscape.,What is the main subject of the image?,A single tall building,A large city with many tall buildings,A small town with a few houses,A beach scene,B
TRAIN_796,./dataset/generated/images/scene_60.jpg,A group of children playing in the sand at the beach. They are digging and having fun.,What is the main activity of the children in the image?,Building sandcastles,Playing in the water,Digging in the sand,Flying kites,A
TRAIN_797,./dataset/generated/images/scene_600.jpg,"A large hamburger with lettuce, tomato, and cheese on a bun.",What is the main ingredient in the hamburger?,Bun,Meat,Lettuce,Tomato,B
TRAIN_798,./dataset/generated/images/scene_601.jpg,A pizza with cheese and basil on top is sitting on a table.,What is the main ingredient of the pizza in the image?,Tomato,Basil,Cheese,Pepperoni,C
TRAIN_799,./dataset/generated/images/scene_602.jpg,A plate of rice with vegetables and a bowl of rice and vegetables next to it.,What is the main dish on the plate?,Rice,Vegetables,Carrots,Peas,A
TRAIN_800,./dataset/generated/images/scene_603.jpg,"A bowl of noodles with vegetables and nuts, including peanuts and carrots.",What is the main ingredient in the bowl of noodles?,Noodles,Peanuts,Carrots,Vegetables,B
TRAIN_801,./dataset/generated/images/scene_604.jpg,A bowl of spaghetti with meat sauce and cheese on top.,What is the main ingredient in the dish?,Spaghetti,Meat,Cheese,Sauce,A
TRAIN_802,./dataset/generated/images/scene_605.jpg,The image shows a country road with a tree on the side. The road is empty and appears to be a two-lane road.,What is the main feature of the image?,A two-lane road,A tree on the side,An empty road,A hillside,A
TRAIN_803,./dataset/generated/images/scene_606.jpg,"A group of people walking down a city street, some of them carrying handbags. The street is lined with stores and trees.",What is the main activity in the image?,Shopping,Walking,Talking,Eating,A
TRAIN_804,./dataset/generated/images/scene_607.jpg,A beach scene with a few shells on the sand.,What is the main subject of the image?,A person,A beach,A shell,A boat,B
TRAIN_805,./dataset/generated/images/scene_608.jpg,"A car is driving down a tree-lined road, with a large tree on the left side of the road. The car is on a highway, and the driver is looking at the road ahead.",What is the driver looking at?,The road ahead,The side of the road,The tree on the left side,The car's side mirror,A
TRAIN_806,./dataset/generated/images/scene_609.jpg,"A family is sitting on the beach, with a man holding a cell phone. A woman is holding a child, and another woman is holding a baby. They are all smiling and enjoying their time together.",What is the man holding in his hand?,A cell phone,A camera,A book,A frisbee,A
TRAIN_807,./dataset/generated/images/scene_61.jpg,"A group of people are sitting around a table, enjoying a meal together. They are laughing and having a good time. There are plates of food, wine glasses, and cups on the table.",What is the main activity in the image?,Eating,Drinking,Laughing,Smiling,A
TRAIN_808,./dataset/generated/images/scene_610.jpg,"A man is taking a picture of a fruit stand with a camera. The stand has a variety of fruits, including apples, oranges, and bananas.",What is the man taking a picture of?,A person,A fruit stand,A building,A car,B
TRAIN_809,./dataset/generated/images/scene_611.jpg,A lush green hillside with a field of flowers and a herd of sheep grazing on the grass.,What is the primary activity of the sheep in the image?,Grazing on the grass,Walking up the hill,Playing with each other,Resting on the grass,A
TRAIN_810,./dataset/generated/images/scene_612.jpg,"A busy city street filled with traffic, including cars, buses, and trucks. The street is lined with palm trees, and there are tall buildings in the background.",What is the main cause of the traffic on this busy city street?,Road construction,Traffic light,Accidents,High volume of vehicles,D
TRAIN_811,./dataset/generated/images/scene_613.jpg,"A woman is walking on a path near the ocean, holding a yellow umbrella. She is wearing a white dress and appears to be enjoying her time by the water.",What is the woman holding in her hand?,A yellow umbrella,A red umbrella,A blue umbrella,A green umbrella,A
TRAIN_812,./dataset/generated/images/scene_614.jpg,"Two women are standing on a busy city street, hugging each other. They are surrounded by a crowd of people walking around them. The street is filled with bright lights and colorful signs, creating a lively atmosphere.",What is the main activity in the image?,People walking around,Two women hugging,Shopping in a store,All of the above,D
TRAIN_813,./dataset/generated/images/scene_615.jpg,A group of people wearing graduation caps and gowns are standing together. One of the graduates is taking a picture of herself using her cell phone.,What is the person taking a picture of?,Herself,The other graduates,The cell phone,The graduation ceremony,A
TRAIN_814,./dataset/generated/images/scene_616.jpg,A woman with long hair is smiling and looking at the camera. She is holding a surfboard.,What is the woman holding in her hand?,Surfboard,Frisbee,Hat,Cell phone,A
TRAIN_815,./dataset/generated/images/scene_617.jpg,A person is holding a cell phone with a picture of a mountain on it. The cell phone is white and the picture is taken from a distance.,What is the person holding in their hand?,A book,A cell phone,A camera,A remote control,B
TRAIN_816,./dataset/generated/images/scene_618.jpg,"A group of people, including a woman and a child, are hugging each other on a beach. They are all wearing bathing suits and are standing under a straw umbrella.",What is the group of people hugging each other for?,Celebrating a birthday,Saying goodbye,Congratulating someone,Celebrating a special occasion,B
TRAIN_817,./dataset/generated/images/scene_619.jpg,"Three women are sitting in a car, smiling and enjoying their time together. They are in the back seat of the car, and there is a steering wheel in front of them.",What is the main activity of the women in the image?,Driving the car,Riding in the back seat,Smiling and enjoying their time together,All of the above,D
TRAIN_818,./dataset/generated/images/scene_62.jpg,"A group of people are sitting around a table, looking at a laptop. There are multiple laptops on the table, and a cup of coffee is present.",What is the primary focus of the image?,People sitting around a table,Laptops on the table,A cup of coffee,A laptop being used by a person,A
TRAIN_819,./dataset/generated/images/scene_620.jpg,"A woman is standing in a bakery, holding a plate with a pastry on it. The bakery has a large display of pastries, including donuts and cakes. There are also several bowls of fruit, including strawberries.",What is the woman holding in her hand?,A donut,A cake,A bowl of fruit,A pastry,D
TRAIN_820,./dataset/generated/images/scene_621.jpg,"A group of people are sitting around a table, enjoying a meal together. They are having sandwiches, and there are cups and wine glasses on the table.",What is the main activity in the image?,Eating,Drinking,Talking,Sitting,A
TRAIN_821,./dataset/generated/images/scene_622.jpg,"A group of children playing in a sandbox, digging and having fun.",What is the main activity of the children in the image?,Playing with toys,Digging in the sand,Building sandcastles,Playing with sports equipment,B
TRAIN_822,./dataset/generated/images/scene_623.jpg,"A family is sitting around a table, enjoying a meal together. They are smiling and laughing, creating a warm and happy atmosphere.",What is the main activity in the image?,Eating,Drinking,Smiling,Laughing,A
TRAIN_823,./dataset/generated/images/scene_624.jpg,"A group of people are standing on a beach, smiling and enjoying their time. They are wearing bathing suits and some of them are holding their towels.",What is the main activity of the people in the image?,Swimming,Sunbathing,Surfing,Playing beach volleyball,B
TRAIN_824,./dataset/generated/images/scene_625.jpg,"A large room with a long table and several chairs. The table is set up for a meeting, and there are multiple chairs surrounding it. The room is dimly lit, giving it a somewhat mysterious atmosphere.",What is the main purpose of the room in the image?,A conference room,A dining room,A living room,A bedroom,A
TRAIN_825,./dataset/generated/images/scene_626.jpg,"Two animals, possibly goats, are standing in a grassy field with a mountain in the background. They are looking at the camera.",What type of animals are standing in the grassy field?,Bears,Goats,Deer,Moose,B
TRAIN_826,./dataset/generated/images/scene_627.jpg,"The image shows a city street at night with a large building in the background. The street is illuminated by streetlights, and there are a few cars driving on the road. The sky is cloudy, and the moon is visible in the sky.",What is the main source of light in the image?,Car headlights,Streetlights,Moonlight,Building lights,B
TRAIN_827,./dataset/generated/images/scene_628.jpg,"A group of people are sitting around a wooden table in a forest, enjoying a meal together. They are surrounded by various food items, including bowls, cups, and a cell phone.",What is the main activity in the image?,Eating,Taking a picture,Sitting around a table,Using a cell phone,A
TRAIN_828,./dataset/generated/images/scene_629.jpg,"A cat is walking down a busy city street, surrounded by people. The cat is looking at the camera.",What is the cat looking at?,People,Camera,Trees,Buildings,B
TRAIN_829,./dataset/generated/images/scene_63.jpg,"A group of children and adults are sitting around a table, laughing and enjoying a game. They are playing a game with a box of chips and a game board.",What is the group of people playing?,Card game,Board game,Chip game,Puzzle game,B
